question_no,type,category,tags,stem,preamble,statement_a,statement_b,statement_c,statement_d,choice_1,choice_2,choice_3,choice_4,correct,explanation
358,single,金銭管理,金銭管理;必要経費,必要経費に関する次の記述のうち、正しいものはどれか。,"","","","","",私的な旅行費用でも、賃貸経営と無関係に常に必要経費になる。,借入金利子は、貸付資産との関係があっても必要経費になる余地がない。,家事上の経費と明確に区分できない費用は、必要経費として問題となる。,固定資産税は、不動産所得の必要経費となる余地が全くない。,3,必要経費は、不動産収入を得るために直接必要で、家事費と区分できる費用が対象です。
359,single,金銭管理,金銭管理;必要経費,必要経費に関する次の記述のうち、最も不適切なものはどれか。,"","","","","",借入金利子は、貸付資産の取得等に関係する場合、必要経費となり得る。,借入金利子は、貸付資産との関係があっても必要経費になる余地がない。,固定資産税や損害保険料などは、不動産所得の必要経費となり得る。,修繕費は、不動産所得の必要経費として処理できる場合がある。,2,必要経費は、不動産収入を得るために直接必要で、家事費と区分できる費用が対象です。
360,single,金銭管理,金銭管理;減価償却,減価償却に関する次の記述のうち、正しいものはどれか。,"","","","","",建物や設備などの減価償却資産は、取得価額を一定の方法で各年の必要経費に配分する。,減価償却資産は、取得した年に必ず全額を必要経費にしなければならない。,減価償却は、資産の使用可能期間とは全く関係がない。,取得価額や耐用年数は、減価償却費の計算に一切影響しない。,1,減価償却は、取得価額を耐用年数等に応じて各年の必要経費に配分する手続です。
361,single,金銭管理,金銭管理;減価償却,減価償却に関する次の記述のうち、最も不適切なものはどれか。,"","","","","",減価償却は、資産の使用可能期間にわたり費用配分する考え方である。,取得価額や耐用年数は、減価償却費の計算に影響する。,減価償却は、資産の使用可能期間とは全く関係がない。,少額資産等には、通常の減価償却と異なる取扱いが定められている場合がある。,3,減価償却は、取得価額を耐用年数等に応じて各年の必要経費に配分する手続です。
362,single,金銭管理,金銭管理;減価償却,減価償却に関する次の記述のうち、正しいものはどれか。,"","","","","",取得価額や耐用年数は、減価償却費の計算に一切影響しない。,少額資産等について、通常と異なる取扱いが問題となることはない。,取得価額や耐用年数は、減価償却費の計算に影響する。,減価償却資産は、取得した年に必ず全額を必要経費にしなければならない。,3,減価償却は、取得価額を耐用年数等に応じて各年の必要経費に配分する手続です。
363,single,金銭管理,金銭管理;減価償却,減価償却に関する次の記述のうち、最も不適切なものはどれか。,"","","","","",少額資産等には、通常の減価償却と異なる取扱いが定められている場合がある。,少額資産等について、通常と異なる取扱いが問題となることはない。,建物や設備などの減価償却資産は、取得価額を一定の方法で各年の必要経費に配分する。,減価償却は、資産の使用可能期間にわたり費用配分する考え方である。,2,減価償却は、取得価額を耐用年数等に応じて各年の必要経費に配分する手続です。
364,single,金銭管理,金銭管理;修繕費資本的支出,修繕費と資本的支出に関する次の記述のうち、正しいものはどれか。,"","","","","",通常の維持管理や原状回復のための支出は、修繕費として処理されることがある。,すべての工事費は、内容にかかわらず必ず修繕費として即時に必要経費となる。,建物の価値を高める支出でも、資本的支出として扱われる余地はない。,修繕費か資本的支出かは、支出の内容を見ずに名称だけで決まる。,1,修繕費と資本的支出は、支出の内容や効果を踏まえて区分する必要があります。
365,single,金銭管理,金銭管理;修繕費資本的支出,修繕費と資本的支出に関する次の記述のうち、最も不適切なものはどれか。,"","","","","",建物の価値や耐久性を高める支出は、資本的支出として扱われることがある。,修繕費か資本的支出かは、支出の内容や効果を見て判断する。,建物の価値を高める支出でも、資本的支出として扱われる余地はない。,資本的支出に該当する場合、減価償却を通じて費用化することがある。,3,修繕費と資本的支出は、支出の内容や効果を踏まえて区分する必要があります。
366,single,金銭管理,金銭管理;修繕費資本的支出,修繕費と資本的支出に関する次の記述のうち、正しいものはどれか。,"","","","","",修繕費か資本的支出かは、支出の内容を見ずに名称だけで決まる。,資本的支出に該当しても、減価償却の問題は生じない。,修繕費か資本的支出かは、支出の内容や効果を見て判断する。,すべての工事費は、内容にかかわらず必ず修繕費として即時に必要経費となる。,3,修繕費と資本的支出は、支出の内容や効果を踏まえて区分する必要があります。
367,single,金銭管理,金銭管理;修繕費資本的支出,修繕費と資本的支出に関する次の記述のうち、最も不適切なものはどれか。,"","","","","",資本的支出に該当する場合、減価償却を通じて費用化することがある。,資本的支出に該当しても、減価償却の問題は生じない。,通常の維持管理や原状回復のための支出は、修繕費として処理されることがある。,建物の価値や耐久性を高める支出は、資本的支出として扱われることがある。,2,修繕費と資本的支出は、支出の内容や効果を踏まえて区分する必要があります。
368,single,金銭管理,金銭管理;固定資産税,固定資産税・都市計画税に関する次の記述のうち、正しいものはどれか。,"","","","","",固定資産税は、土地や家屋などの固定資産に課される地方税である。,固定資産税は、賃貸借契約の賃借人だけに課される国税である。,都市計画税は、どの地域のどの資産にも必ず課される税である。,賃貸用不動産の固定資産税は、必要経費になる余地が全くない。,1,固定資産税・都市計画税は地方税で、賃貸用不動産に係るものは必要経費となり得ます。
369,single,金銭管理,金銭管理;固定資産税,固定資産税・都市計画税に関する次の記述のうち、最も不適切なものはどれか。,"","","","","",都市計画税は、一定の区域内の土地や家屋に課されることがある。,賃貸用不動産に係る固定資産税は、不動産所得の必要経費となり得る。,都市計画税は、どの地域のどの資産にも必ず課される税である。,固定資産税等の納税通知書は、納税額確認の資料となる。,3,固定資産税・都市計画税は地方税で、賃貸用不動産に係るものは必要経費となり得ます。
370,single,金銭管理,金銭管理;固定資産税,固定資産税・都市計画税に関する次の記述のうち、正しいものはどれか。,"","","","","",賃貸用不動産の固定資産税は、必要経費になる余地が全くない。,納税通知書は、納税額確認の資料にはならない。,賃貸用不動産に係る固定資産税は、不動産所得の必要経費となり得る。,固定資産税は、賃貸借契約の賃借人だけに課される国税である。,3,固定資産税・都市計画税は地方税で、賃貸用不動産に係るものは必要経費となり得ます。
371,single,金銭管理,金銭管理;固定資産税,固定資産税・都市計画税に関する次の記述のうち、最も不適切なものはどれか。,"","","","","",固定資産税等の納税通知書は、納税額確認の資料となる。,納税通知書は、納税額確認の資料にはならない。,固定資産税は、土地や家屋などの固定資産に課される地方税である。,都市計画税は、一定の区域内の土地や家屋に課されることがある。,2,固定資産税・都市計画税は地方税で、賃貸用不動産に係るものは必要経費となり得ます。
372,single,金銭管理,金銭管理;消費税,消費税に関する次の記述のうち、正しいものはどれか。,"","","","","",住宅の貸付けは、原則として消費税が非課税とされる。,住宅の貸付けは、どのような場合でも必ず消費税の課税対象となる。,事業用建物の貸付けは、消費税の課税対象となる余地が一切ない。,駐車場の貸付けは、利用状況にかかわらず常に非課税である。,1,住宅貸付けは原則非課税ですが、事業用建物や駐車場は契約内容・利用実態に応じて確認が必要です。
373,single,金銭管理,金銭管理;消費税,消費税に関する次の記述のうち、最も不適切なものはどれか。,"","","","","",事務所や店舗など事業用建物の貸付けは、消費税の課税対象となる場合がある。,駐車場の貸付けは、土地の利用状況等により消費税の取扱いを確認する必要がある。,事業用建物の貸付けは、消費税の課税対象となる余地が一切ない。,課税・非課税の判定は、契約内容や利用実態を踏まえて行う。,3,住宅貸付けは原則非課税ですが、事業用建物や駐車場は契約内容・利用実態に応じて確認が必要です。
374,single,金銭管理,金銭管理;消費税,消費税に関する次の記述のうち、正しいものはどれか。,"","","","","",駐車場の貸付けは、利用状況にかかわらず常に非課税である。,消費税の課税判定では、契約内容や利用実態を確認してはならない。,駐車場の貸付けは、土地の利用状況等により消費税の取扱いを確認する必要がある。,住宅の貸付けは、どのような場合でも必ず消費税の課税対象となる。,3,住宅貸付けは原則非課税ですが、事業用建物や駐車場は契約内容・利用実態に応じて確認が必要です。
375,single,金銭管理,金銭管理;消費税,消費税に関する次の記述のうち、最も不適切なものはどれか。,"","","","","",課税・非課税の判定は、契約内容や利用実態を踏まえて行う。,消費税の課税判定では、契約内容や利用実態を確認してはならない。,住宅の貸付けは、原則として消費税が非課税とされる。,事務所や店舗など事業用建物の貸付けは、消費税の課税対象となる場合がある。,2,住宅貸付けは原則非課税ですが、事業用建物や駐車場は契約内容・利用実態に応じて確認が必要です。
376,single,金銭管理,金銭管理;保険,保険に関する次の記述のうち、正しいものはどれか。,"","","","","",火災保険は、火災等による建物損害に備える保険として利用される。,火災保険は、火災による損害とは全く関係がない。,借家人賠償責任保険は、入居者が貸室に損害を与えた場合と一切関係しない。,施設賠償責任保険は、建物管理上の事故とは無関係である。,1,保険では、火災保険、借家人賠償責任保険、施設賠償責任保険の補償範囲を確認します。
377,single,金銭管理,金銭管理;保険,保険に関する次の記述のうち、最も不適切なものはどれか。,"","","","","",借家人賠償責任保険は、入居者が貸室に損害を与えた場合の賠償に関係する。,施設賠償責任保険は、建物管理上の事故による賠償リスクに備えることがある。,借家人賠償責任保険は、入居者が貸室に損害を与えた場合と一切関係しない。,保険の補償範囲や免責事項を確認することは重要である。,3,保険では、火災保険、借家人賠償責任保険、施設賠償責任保険の補償範囲を確認します。
378,single,金銭管理,金銭管理;保険,保険に関する次の記述のうち、正しいものはどれか。,"","","","","",施設賠償責任保険は、建物管理上の事故とは無関係である。,保険では、補償範囲や免責事項を確認してはならない。,施設賠償責任保険は、建物管理上の事故による賠償リスクに備えることがある。,火災保険は、火災による損害とは全く関係がない。,3,保険では、火災保険、借家人賠償責任保険、施設賠償責任保険の補償範囲を確認します。
379,single,金銭管理,金銭管理;保険,保険に関する次の記述のうち、最も不適切なものはどれか。,"","","","","",保険の補償範囲や免責事項を確認することは重要である。,保険では、補償範囲や免責事項を確認してはならない。,火災保険は、火災等による建物損害に備える保険として利用される。,借家人賠償責任保険は、入居者が貸室に損害を与えた場合の賠償に関係する。,2,保険では、火災保険、借家人賠償責任保険、施設賠償責任保険の補償範囲を確認します。
380,single,金銭管理,金銭管理;管理報酬,管理報酬の会計に関する次の記述のうち、正しいものはどれか。,"","","","","",管理報酬は、管理業者にとって管理業務の対価である。,管理報酬は、委託者に帰属する預り金と常に同一の性質を持つ。,家賃等と管理報酬は、性質を区別してはならない。,契約上の根拠がなくても、管理報酬は自由に控除してよい。,1,管理報酬は管理業務の対価であり、預り金とは区別して請求・控除・会計処理を行います。
381,single,金銭管理,金銭管理;管理報酬,管理報酬の会計に関する次の記述のうち、最も不適切なものはどれか。,"","","","","",委託者に送金する家賃等と管理報酬は、性質を区別して処理する必要がある。,管理報酬を家賃収納額から控除する場合、契約上の根拠が必要となる。,家賃等と管理報酬は、性質を区別してはならない。,管理報酬の請求書や精算書は、会計処理の資料となる。,3,管理報酬は管理業務の対価であり、預り金とは区別して請求・控除・会計処理を行います。
382,single,金銭管理,金銭管理;管理報酬,管理報酬の会計に関する次の記述のうち、正しいものはどれか。,"","","","","",契約上の根拠がなくても、管理報酬は自由に控除してよい。,請求書や精算書は、会計処理の資料にはならない。,管理報酬を家賃収納額から控除する場合、契約上の根拠が必要となる。,管理報酬は、委託者に帰属する預り金と常に同一の性質を持つ。,3,管理報酬は管理業務の対価であり、預り金とは区別して請求・控除・会計処理を行います。
383,single,金銭管理,金銭管理;管理報酬,管理報酬の会計に関する次の記述のうち、最も不適切なものはどれか。,"","","","","",管理報酬の請求書や精算書は、会計処理の資料となる。,請求書や精算書は、会計処理の資料にはならない。,管理報酬は、管理業者にとって管理業務の対価である。,委託者に送金する家賃等と管理報酬は、性質を区別して処理する必要がある。,2,管理報酬は管理業務の対価であり、預り金とは区別して請求・控除・会計処理を行います。
384,single,金銭管理,金銭管理;帳簿,帳簿・証憑に関する次の記述のうち、正しいものはどれか。,"","","","","",家賃収納や支払の記録を帳簿に残すことは、金銭管理の基本である。,帳簿は、金銭管理では作成してはならない。,領収書や請求書は、取引確認の資料には一切ならない。,帳簿と入出金を照合すると、不一致を発見できなくなる。,1,帳簿・証憑は、金銭管理、照合、税務申告、委託者説明の基礎になります。
385,single,金銭管理,金銭管理;帳簿,帳簿・証憑に関する次の記述のうち、最も不適切なものはどれか。,"","","","","",領収書、請求書、振込記録などは、取引を確認する証憑となる。,帳簿と実際の入出金を照合することは、不一致の発見に役立つ。,領収書や請求書は、取引確認の資料には一切ならない。,証憑を整理しておくことは、税務申告や委託者説明に役立つ。,3,帳簿・証憑は、金銭管理、照合、税務申告、委託者説明の基礎になります。
386,single,金銭管理,金銭管理;帳簿,帳簿・証憑に関する次の記述のうち、正しいものはどれか。,"","","","","",帳簿と入出金を照合すると、不一致を発見できなくなる。,証憑整理は、税務申告や委託者説明に全く役立たない。,帳簿と実際の入出金を照合することは、不一致の発見に役立つ。,帳簿は、金銭管理では作成してはならない。,3,帳簿・証憑は、金銭管理、照合、税務申告、委託者説明の基礎になります。
387,single,金銭管理,金銭管理;帳簿,帳簿・証憑に関する次の記述のうち、最も不適切なものはどれか。,"","","","","",証憑を整理しておくことは、税務申告や委託者説明に役立つ。,証憑整理は、税務申告や委託者説明に全く役立たない。,家賃収納や支払の記録を帳簿に残すことは、金銭管理の基本である。,領収書、請求書、振込記録などは、取引を確認する証憑となる。,2,帳簿・証憑は、金銭管理、照合、税務申告、委託者説明の基礎になります。
388,single,金銭管理,金銭管理;予算実績,収支予算と実績管理に関する次の記述のうち、正しいものはどれか。,"","","","","",賃貸経営では、収入と支出の見込みを把握することが重要である。,賃貸経営では、収入と支出の見込みを把握してはならない。,予算と実績が大きく違っても、原因を確認する必要はない。,修繕費や空室率は、収支に全く影響しない。,1,収支予算と実績管理は、空室・修繕費などの影響を把握し、委託者への説明に役立ちます。
389,single,金銭管理,金銭管理;予算実績,収支予算と実績管理に関する次の記述のうち、最も不適切なものはどれか。,"","","","","",実績が予算と大きく異なる場合、原因を確認することが望ましい。,修繕費の増加や空室率の上昇は、収支に影響する。,予算と実績が大きく違っても、原因を確認する必要はない。,収支実績を委託者に説明することは、管理提案に役立つ。,3,収支予算と実績管理は、空室・修繕費などの影響を把握し、委託者への説明に役立ちます。
390,single,金銭管理,金銭管理;予算実績,収支予算と実績管理に関する次の記述のうち、正しいものはどれか。,"","","","","",修繕費や空室率は、収支に全く影響しない。,収支実績は、委託者への説明や提案に使ってはならない。,修繕費の増加や空室率の上昇は、収支に影響する。,賃貸経営では、収入と支出の見込みを把握してはならない。,3,収支予算と実績管理は、空室・修繕費などの影響を把握し、委託者への説明に役立ちます。
391,single,金銭管理,金銭管理;予算実績,収支予算と実績管理に関する次の記述のうち、最も不適切なものはどれか。,"","","","","",収支実績を委託者に説明することは、管理提案に役立つ。,収支実績は、委託者への説明や提案に使ってはならない。,賃貸経営では、収入と支出の見込みを把握することが重要である。,実績が予算と大きく異なる場合、原因を確認することが望ましい。,2,収支予算と実績管理は、空室・修繕費などの影響を把握し、委託者への説明に役立ちます。
392,single,金銭管理,金銭管理;空室損失,空室と収支に関する次の記述のうち、正しいものはどれか。,"","","","","",空室期間が長くなると、賃料収入は減少する。,空室期間が長くなっても、賃料収入は必ず増加する。,空室損失を把握しても、募集条件の見直しには一切役立たない。,空室中は、固定資産税などの支出が一切発生しない。,1,空室は収入減少と固定費負担を通じて収支に影響し、募集条件の見直しにも関係します。
393,single,金銭管理,金銭管理;空室損失,空室と収支に関する次の記述のうち、最も不適切なものはどれか。,"","","","","",空室損失を把握することは、募集条件や賃料設定の見直しに役立つ。,空室中でも固定資産税や共用部管理費などの支出は発生することがある。,空室損失を把握しても、募集条件の見直しには一切役立たない。,空室率は、賃貸経営の収益性を見る指標となる。,3,空室は収入減少と固定費負担を通じて収支に影響し、募集条件の見直しにも関係します。
394,single,金銭管理,金銭管理;空室損失,空室と収支に関する次の記述のうち、正しいものはどれか。,"","","","","",空室中は、固定資産税などの支出が一切発生しない。,空室率は、賃貸経営の収益性と全く関係がない。,空室中でも固定資産税や共用部管理費などの支出は発生することがある。,空室期間が長くなっても、賃料収入は必ず増加する。,3,空室は収入減少と固定費負担を通じて収支に影響し、募集条件の見直しにも関係します。
395,single,金銭管理,金銭管理;空室損失,空室と収支に関する次の記述のうち、最も不適切なものはどれか。,"","","","","",空室率は、賃貸経営の収益性を見る指標となる。,空室率は、賃貸経営の収益性と全く関係がない。,空室期間が長くなると、賃料収入は減少する。,空室損失を把握することは、募集条件や賃料設定の見直しに役立つ。,2,空室は収入減少と固定費負担を通じて収支に影響し、募集条件の見直しにも関係します。
396,single,金銭管理,金銭管理;修繕積立,修繕資金の準備に関する次の記述のうち、正しいものはどれか。,"","","","","",将来の大規模修繕に備えて、修繕資金を計画的に準備することが望ましい。,将来の修繕に備えた資金準備は、賃貸経営では常に不要である。,修繕資金が不足しても、必要な修繕が先送りされることは絶対にない。,長期的な収支計画では、修繕費を一切見込んではならない。,1,修繕資金を計画的に準備することで、大規模修繕や突発修繕に対応しやすくなります。
397,single,金銭管理,金銭管理;修繕積立,修繕資金の準備に関する次の記述のうち、最も不適切なものはどれか。,"","","","","",修繕資金の不足は、必要な修繕の先送りにつながることがある。,長期的な収支計画では、修繕費の発生時期を見込むことが重要である。,修繕資金が不足しても、必要な修繕が先送りされることは絶対にない。,突発的な設備故障に備え、一定の予備費を考慮することがある。,3,修繕資金を計画的に準備することで、大規模修繕や突発修繕に対応しやすくなります。
398,single,金銭管理,金銭管理;修繕積立,修繕資金の準備に関する次の記述のうち、正しいものはどれか。,"","","","","",長期的な収支計画では、修繕費を一切見込んではならない。,設備故障は絶対に起きないため、予備費を考える必要はない。,長期的な収支計画では、修繕費の発生時期を見込むことが重要である。,将来の修繕に備えた資金準備は、賃貸経営では常に不要である。,3,修繕資金を計画的に準備することで、大規模修繕や突発修繕に対応しやすくなります。
399,single,金銭管理,金銭管理;修繕積立,修繕資金の準備に関する次の記述のうち、最も不適切なものはどれか。,"","","","","",突発的な設備故障に備え、一定の予備費を考慮することがある。,設備故障は絶対に起きないため、予備費を考える必要はない。,将来の大規模修繕に備えて、修繕資金を計画的に準備することが望ましい。,修繕資金の不足は、必要な修繕の先送りにつながることがある。,2,修繕資金を計画的に準備することで、大規模修繕や突発修繕に対応しやすくなります。
400,single,金銭管理,金銭管理;相続,賃貸不動産と相続に関する次の記述のうち、正しいものはどれか。,"","","","","",賃貸不動産の所有者が死亡した場合、相続人が賃貸人の地位を承継することがある。,賃貸不動産の所有者が死亡しても、賃貸人の地位が相続人に承継される余地はない。,相続後の賃料の帰属は、相続関係と全く関係がない。,相続人が複数いても、振込先や管理方針を確認してはならない。,1,相続時には、賃貸人の地位、賃料帰属、振込先、管理方針、評価への影響を確認します。
401,single,金銭管理,金銭管理;相続,賃貸不動産と相続に関する次の記述のうち、最も不適切なものはどれか。,"","","","","",相続発生後の賃料の帰属は、相続関係や遺産分割との関係で問題となる。,相続人が複数いる場合、賃料振込先や管理方針の確認が必要となることがある。,相続後の賃料の帰属は、相続関係と全く関係がない。,相続税評価では、賃貸不動産の利用状況が評価に影響することがある。,3,相続時には、賃貸人の地位、賃料帰属、振込先、管理方針、評価への影響を確認します。
402,single,金銭管理,金銭管理;相続,賃貸不動産と相続に関する次の記述のうち、正しいものはどれか。,"","","","","",相続人が複数いても、振込先や管理方針を確認してはならない。,相続税評価では、賃貸不動産の利用状況は一切影響しない。,相続人が複数いる場合、賃料振込先や管理方針の確認が必要となることがある。,賃貸不動産の所有者が死亡しても、賃貸人の地位が相続人に承継される余地はない。,3,相続時には、賃貸人の地位、賃料帰属、振込先、管理方針、評価への影響を確認します。
403,single,金銭管理,金銭管理;相続,賃貸不動産と相続に関する次の記述のうち、最も不適切なものはどれか。,"","","","","",相続税評価では、賃貸不動産の利用状況が評価に影響することがある。,相続税評価では、賃貸不動産の利用状況は一切影響しない。,賃貸不動産の所有者が死亡した場合、相続人が賃貸人の地位を承継することがある。,相続発生後の賃料の帰属は、相続関係や遺産分割との関係で問題となる。,2,相続時には、賃貸人の地位、賃料帰属、振込先、管理方針、評価への影響を確認します。
404,single,金銭管理,金銭管理;領収書,領収書・支払証明に関する次の記述のうち、正しいものはどれか。,"","","","","",現金で家賃を受領する場合、領収書の発行や控えの保存が重要である。,現金で家賃を受け取っても、領収書や記録は一切残してはならない。,領収書には、金額や受領日を記載してはならない。,支払証明の有無は、支払済み確認と全く関係がない。,1,現金受領では、領収書、控え、対象月分、記録を残して支払済み確認に備えます。
405,single,金銭管理,金銭管理;領収書,領収書・支払証明に関する次の記述のうち、最も不適切なものはどれか。,"","","","","",領収書には、受領日、金額、対象月分などを明記することが望ましい。,支払証明の有無は、入居者との支払済み確認に関係する。,領収書には、金額や受領日を記載してはならない。,現金授受は紛争予防のため記録を残すことが重要である。,3,現金受領では、領収書、控え、対象月分、記録を残して支払済み確認に備えます。
406,single,金銭管理,金銭管理;領収書,領収書・支払証明に関する次の記述のうち、正しいものはどれか。,"","","","","",支払証明の有無は、支払済み確認と全く関係がない。,現金授受は、記録を残すと必ず違法になる。,支払証明の有無は、入居者との支払済み確認に関係する。,現金で家賃を受け取っても、領収書や記録は一切残してはならない。,3,現金受領では、領収書、控え、対象月分、記録を残して支払済み確認に備えます。
407,single,金銭管理,金銭管理;領収書,領収書・支払証明に関する次の記述のうち、最も不適切なものはどれか。,"","","","","",現金授受は紛争予防のため記録を残すことが重要である。,現金授受は、記録を残すと必ず違法になる。,現金で家賃を受領する場合、領収書の発行や控えの保存が重要である。,領収書には、受領日、金額、対象月分などを明記することが望ましい。,2,現金受領では、領収書、控え、対象月分、記録を残して支払済み確認に備えます。
408,single,金銭管理,金銭管理;敷金精算明細,敷金精算明細に関する次の記述のうち、正しいものはどれか。,"","","","","",敷金精算では、差し引く費用の項目や金額を明細化することが重要である。,敷金精算では、控除費用の項目や金額を一切示してはならない。,原状回復費用を控除する場合でも、負担根拠を示す必要は全くない。,精算明細は、入居者との紛争予防に全く役立たない。,1,敷金精算では、控除項目・金額・負担根拠・返還額を明確にすることが重要です。
409,single,金銭管理,金銭管理;敷金精算明細,敷金精算明細に関する次の記述のうち、最も不適切なものはどれか。,"","","","","",原状回復費用を控除する場合、損耗内容や負担根拠を示すことが望ましい。,精算明細は、入居者との紛争予防に役立つ。,原状回復費用を控除する場合でも、負担根拠を示す必要は全くない。,返還額や不足額を明確にすることは、退去時処理の基本である。,3,敷金精算では、控除項目・金額・負担根拠・返還額を明確にすることが重要です。
410,single,金銭管理,金銭管理;敷金精算明細,敷金精算明細に関する次の記述のうち、正しいものはどれか。,"","","","","",精算明細は、入居者との紛争予防に全く役立たない。,返還額や不足額は、退去者に知らせず管理業者が秘密にしてよい。,精算明細は、入居者との紛争予防に役立つ。,敷金精算では、控除費用の項目や金額を一切示してはならない。,3,敷金精算では、控除項目・金額・負担根拠・返還額を明確にすることが重要です。
411,single,金銭管理,金銭管理;敷金精算明細,敷金精算明細に関する次の記述のうち、最も不適切なものはどれか。,"","","","","",返還額や不足額を明確にすることは、退去時処理の基本である。,返還額や不足額は、退去者に知らせず管理業者が秘密にしてよい。,敷金精算では、差し引く費用の項目や金額を明細化することが重要である。,原状回復費用を控除する場合、損耗内容や負担根拠を示すことが望ましい。,2,敷金精算では、控除項目・金額・負担根拠・返還額を明確にすることが重要です。
412,single,賃貸借,賃貸借;契約成立,賃貸借契約の成立に関する次の記述のうち、正しいものはどれか。,"","","","","",賃貸借契約は、賃貸人が目的物を使用収益させ、賃借人が賃料を支払うことを約する契約である。,賃貸借契約は、必ず売買代金の支払を目的とする契約である。,普通建物賃貸借契約は、口頭合意では絶対に成立しない。,契約書を作成すると、契約内容が必ず不明確になる。,1,賃貸借契約は使用収益と賃料支払を内容とする契約で、書面化により内容を明確にします。
413,single,賃貸借,賃貸借;契約成立,賃貸借契約の成立に関する次の記述のうち、最も不適切なものはどれか。,"","","","","",普通建物賃貸借契約は、契約書がなくても合意により成立し得る。,契約内容を明確にするため、書面で契約することが実務上重要である。,普通建物賃貸借契約は、口頭合意では絶対に成立しない。,賃貸借契約では、目的物、賃料、期間などを明確にすることが望ましい。,3,賃貸借契約は使用収益と賃料支払を内容とする契約で、書面化により内容を明確にします。
414,single,賃貸借,賃貸借;契約成立,賃貸借契約の成立に関する次の記述のうち、正しいものはどれか。,"","","","","",契約書を作成すると、契約内容が必ず不明確になる。,目的物や賃料は、賃貸借契約では一切定めてはならない。,契約内容を明確にするため、書面で契約することが実務上重要である。,賃貸借契約は、必ず売買代金の支払を目的とする契約である。,3,賃貸借契約は使用収益と賃料支払を内容とする契約で、書面化により内容を明確にします。
415,single,賃貸借,賃貸借;契約成立,賃貸借契約の成立に関する次の記述のうち、最も不適切なものはどれか。,"","","","","",賃貸借契約では、目的物、賃料、期間などを明確にすることが望ましい。,目的物や賃料は、賃貸借契約では一切定めてはならない。,賃貸借契約は、賃貸人が目的物を使用収益させ、賃借人が賃料を支払うことを約する契約である。,普通建物賃貸借契約は、契約書がなくても合意により成立し得る。,2,賃貸借契約は使用収益と賃料支払を内容とする契約で、書面化により内容を明確にします。
416,single,賃貸借,賃貸借;借地借家法,借地借家法の適用に関する次の記述のうち、正しいものはどれか。,"","","","","",建物の賃貸借には、借地借家法の借家に関する規定が問題となる。,建物賃貸借には、借地借家法が一切適用されない。,借地借家法には、賃借人保護の規定は全く含まれない。,借地借家法に反する賃借人に不利な特約でも、常にすべて有効である。,1,建物賃貸借では借地借家法が重要で、賃借人に不利な特約が無効となる場合があります。
417,single,賃貸借,賃貸借;借地借家法,借地借家法の適用に関する次の記述のうち、最も不適切なものはどれか。,"","","","","",借地借家法には、賃借人保護のための強行規定が含まれる。,借地借家法に反して賃借人に不利な特約は、無効となることがある。,借地借家法には、賃借人保護の規定は全く含まれない。,居住用建物の賃貸借では、更新や解約申入れに関する規定が重要である。,3,建物賃貸借では借地借家法が重要で、賃借人に不利な特約が無効となる場合があります。
418,single,賃貸借,賃貸借;借地借家法,借地借家法の適用に関する次の記述のうち、正しいものはどれか。,"","","","","",借地借家法に反する賃借人に不利な特約でも、常にすべて有効である。,更新や解約申入れは、居住用建物の賃貸借では全く問題にならない。,借地借家法に反して賃借人に不利な特約は、無効となることがある。,建物賃貸借には、借地借家法が一切適用されない。,3,建物賃貸借では借地借家法が重要で、賃借人に不利な特約が無効となる場合があります。
419,single,賃貸借,賃貸借;借地借家法,借地借家法の適用に関する次の記述のうち、最も不適切なものはどれか。,"","","","","",居住用建物の賃貸借では、更新や解約申入れに関する規定が重要である。,更新や解約申入れは、居住用建物の賃貸借では全く問題にならない。,建物の賃貸借には、借地借家法の借家に関する規定が問題となる。,借地借家法には、賃借人保護のための強行規定が含まれる。,2,建物賃貸借では借地借家法が重要で、賃借人に不利な特約が無効となる場合があります。
420,single,賃貸借,賃貸借;契約期間,契約期間に関する次の記述のうち、正しいものはどれか。,"","","","","",普通建物賃貸借では、期間の定めがあっても更新が問題となる。,普通建物賃貸借では、期間満了により常に当然終了し更新は問題にならない。,建物賃貸借の期間を1年未満と定めても、常にその期間どおり確定的に終了する。,契約期間は、更新や解約申入れに一切影響しない。,1,建物賃貸借では、期間、更新、解約申入れ、定期借家の要件を区別して理解します。
421,single,賃貸借,賃貸借;契約期間,契約期間に関する次の記述のうち、最も不適切なものはどれか。,"","","","","",期間を1年未満と定めた建物賃貸借は、期間の定めがないものとみなされることがある。,契約期間は、更新や解約申入れの判断に影響する。,建物賃貸借の期間を1年未満と定めても、常にその期間どおり確定的に終了する。,定期建物賃貸借では、期間満了による終了を予定するため別途要件が定められている。,3,建物賃貸借では、期間、更新、解約申入れ、定期借家の要件を区別して理解します。
422,single,賃貸借,賃貸借;契約期間,契約期間に関する次の記述のうち、正しいものはどれか。,"","","","","",契約期間は、更新や解約申入れに一切影響しない。,定期建物賃貸借には、期間満了終了に関する要件は存在しない。,契約期間は、更新や解約申入れの判断に影響する。,普通建物賃貸借では、期間満了により常に当然終了し更新は問題にならない。,3,建物賃貸借では、期間、更新、解約申入れ、定期借家の要件を区別して理解します。
